,subjectID,Behavior20,Behavior21,Behavior22,Behavior23,Behavior24,Behavior25,Behavior26,Behavior27,Behavior28,Behavior29,Behavior30,Behavior31,Behavior32,Behavior33,Behavior34,Behavior35,Behavior64,Fear_of_everyday_situations441,Fear_of_everyday_situations445,Fear_of_everyday_situations447,Fear_of_everyday_situations449,Fear_of_everyday_situations453,Fear_of_everyday_situations454,Fear_of_everyday_situations462,Risk_perception1,Risk_perception10,Risk_perception110,Risk_perception111,Risk_perception112,Risk_perception113,Risk_perception114,Risk_perception115,Risk_perception116,Risk_perception2,Risk_perception3,Risk_perception4,Risk_perception5,Risk_perception6,Risk_perception7,Risk_perception8,Risk_perception9
234,sub0210,0.0,1.0,0.0,1.0,0.0,2.0,51.0,6.0,15.0,72.0,78.0,81.0,75.0,49.0,68.0,96.0,81.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,54,73.0,49.0,91.0,33.0,54.0,72.0,99.0,27.0,52,75,75,77,74.0,47.0,46.0,98.0
235,sub0301,0.0,0.0,0.0,0.0,0.0,3.0,50.0,27.0,23.0,21.0,51.0,0.0,10.0,7.0,4.0,7.0,13.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,4,86.0,1.0,49.0,94.0,50.0,53.0,89.0,51.0,51,94,91,51,87.0,97.0,100.0,51.0
236,sub0094,70.0,74.0,72.0,75.0,39.0,0.0,3.0,1.0,0.0,55.0,72.0,71.0,74.0,37.0,19.0,7.0,74.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,19,47.0,0.0,21.0,57.0,14.0,7.0,82.0,67.0,30,38,55,32,27.0,47.0,57.0,57.0
237,sub0640,3.0,0.0,1.0,2.0,3.0,1.0,37.0,13.0,20.0,78.0,100.0,100.0,49.0,51.0,74.0,36.0,100.0,3.0,2.0,3.0,2.0,1.0,2.0,0.0,29,60.0,45.0,47.0,100.0,100.0,57.0,52.0,35.0,74,100,100,41,34.0,39.0,38.0,39.0
238,sub0202,88.0,0.0,0.0,0.0,3.0,86.0,90.0,5.0,8.0,61.0,73.0,68.0,75.0,83.0,78.0,74.0,70.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,79,81.0,86.0,85.0,85.0,86.0,86.0,90.0,93.0,82,85,82,90,92.0,93.0,90.0,82.0
239,sub0459,0.0,0.0,0.0,0.0,0.0,0.0,100.0,63.0,66.0,78.0,100.0,100.0,49.0,70.0,76.0,70.0,100.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,39,69.0,64.0,78.0,77.0,36.0,28.0,97.0,11.0,69,68,69,55,59.0,65.0,72.0,86.0
240,sub0024,0.0,0.0,0.0,0.0,0.0,0.0,94.0,90.0,28.0,100.0,100.0,50.0,13.0,100.0,100.0,100.0,91.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,16,85.0,12.0,100.0,68.0,32.0,26.0,70.0,58.0,65,0,74,46,38.0,45.0,52.0,70.0
241,sub0492,0.0,0.0,0.0,0.0,0.0,0.0,100.0,52.0,25.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,93,100.0,97.0,100.0,100.0,100.0,100.0,100.0,7.0,100,33,82,95,97.0,97.0,95.0,100.0
242,sub0482,0.0,0.0,0.0,0.0,0.0,0.0,100.0,49.0,48.0,50.0,99.0,100.0,52.0,48.0,48.0,46.0,100.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,2,5,4,0,1.0,38.0,55.0,0.0
243,sub0239,19.0,13.0,6.0,3.0,0.0,27.0,64.0,73.0,75.0,78.0,88.0,84.0,54.0,53.0,56.0,60.0,84.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75,77.0,84.0,87.0,93.0,87.0,85.0,85.0,54.0,69,73,81,64,68.0,77.0,89.0,53.0
244,sub0105,7.0,5.0,7.0,7.0,6.0,50.0,82.0,79.0,83.0,83.0,80.0,84.0,88.0,46.0,48.0,49.0,84.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,95,66.0,30.0,32.0,70.0,73.0,70.0,74.0,26.0,31,65,78,75,97.0,97.0,98.0,72.0
245,sub0524,20.0,21.0,4.0,6.0,5.0,88.0,7.0,10.0,11.0,85.0,75.0,79.0,32.0,75.0,80.0,82.0,78.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,55,83.0,89.0,81.0,92.0,86.0,98.0,85.0,85.0,64,73,93,72,67.0,88.0,87.0,79.0
246,sub0258,0.0,0.0,0.0,0.0,0.0,0.0,47.0,48.0,77.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,40,51.0,50.0,50.0,88.0,90.0,97.0,82.0,82.0,10,68,57,43,67.0,88.0,77.0,51.0
247,sub0376,0.0,0.0,0.0,0.0,0.0,66.0,100.0,65.0,67.0,34.0,100.0,100.0,63.0,84.0,100.0,89.0,100.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,68,64.0,87.0,91.0,100.0,84.0,87.0,57.0,9.0,65,66,100,72,60.0,63.0,65.0,70.0
248,sub0298,11.0,0.0,0.0,0.0,0.0,86.0,100.0,69.0,70.0,70.0,100.0,100.0,65.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0,50.0,0.0,0.0,33.0,0.0,0.0,83.0,20.0,0,3,22,0,56.0,77.0,96.0,10.0
